entry,meaning,ipa,example_sentence,translated_sentence
necessity,"【名】必要性, 必須",/nɪˈsɛsəti/,Education is a necessity for personal growth.,教育は個人の成長に必要不可欠です。
airport,【名】空港,/ˈɛər.pɔːrt/,I will pick you up at the airport.,私は空港であなたを迎えに行きます。
negligence,"【名】過失, 不注意",/nɛɡlɪdʒəns/,His negligence caused the accident.,彼の怠慢が事故を引き起こした。
negotiable,"【形】交渉可能な, 譲歩可能な",/nɪˈɡoʊʃiəbəl/,The price is negotiable.,価格は交渉できます。
negotiator,"【名】交渉者, 交渉担当者",/nɪˈɡoʊʃiˌeɪtər/,He is a skilled negotiator.,彼は熟練した交渉者です。
allegedly,"【副】伝えられるところでは, 申し立てによれば",/əˈlɛdʒɪdli/,"He allegedly stole the car, according to the police report.",警察の報告によれば、彼は車を盗んだとされています。
slump,"【名】景気後退, 不況",/slʌmp/,He fell into a slump after losing his job.,彼は仕事を失ってからスランプに陥った。
allocation,"【名】割当, 配分",/ˌæləˈkeɪʃən/,The company made an allocation of funds for research and development.,会社は研究開発のために資金を割り当てました。
sovereign,"【名】主権者, 君主",/ˈsɒvərɪn/,The sovereign of the country is highly respected by the people.,その国の君主は人々から非常に尊敬されています。
tangible,"【形】有形の, 具体的な",/'tæn.dʒə.bəl/,The sculpture is a tangible representation of the artist's emotions.,彫刻は芸術家の感情の触れられる表現です。
niche,"【名】ニッチ, 隙間市場",/nitʃ/,I found a small niche in the wall where I can display my favorite vase.,私は壁の中に小さな壁がんを見つけました。そこにはお気に入りの花びんを飾ることができます。
delta,【名】デルタ,/dɛltə/,The symbol Δ represents the Greek letter delta.,記号Δはギリシャ文字デルタを表します。
annuity,"【名】年金, 年金積立",/əˈnjuːɪti/,My grandfather receives an annuity from his previous employer.,私の祖父は以前の雇用者から年金を受け取っています。
anti,"【接頭】反...の, ...に対する",/ˈænti/,The anti-war movement gained momentum in the 1960s.,反戦運動は1960年代に勢いを増した。
apple,【名】リンゴ,/ˈæpəl/,I ate an apple this morning.,今朝リンゴを食べました。
obituary,"【名】死亡記事, 訃報",/əˈbɪtʃuˌɛri/,The local newspaper published an obituary for the beloved community leader.,地元の新聞は、敬愛された地域のリーダーの死亡記事を掲載しました。
objection,"【名】反対, 異議",/əbˈdʒɛkʃən/,I have no objection to your plan.,あなたの計画には反対意見はありません。
appraisal,"【名】評価, 査定",/əˈpreɪ.zəl/,The manager gave a positive appraisal to the employee.,マネージャーは従業員に肯定的な評価を与えました。
appropriately,"【副】適切に, 適当に",/əˈproʊpriətli/,He responded appropriately to the situation.,彼は適切に状況に対応しました。
observer,"【名】観察者, 観察者",/əbˈzɜːrvər/,The scientist acted as an observer during the experiment.,科学者は実験中に観察者として行動しました。
occasional,"【形】時折の, たまの",/əˈkeɪʒənəl/,I enjoy taking occasional walks in the park.,私は時折公園で散歩するのを楽しんでいます。
officially,"【副】公式に, 正式に",/əˈfɪʃəli/,The company officially announced its new product.,会社は公式に新製品を発表しました。
oral,"【形】口頭の, 口述の",/ˈɔːrəl/,Oral communication is an important skill in the workplace.,職場では口頭コミュニケーションが重要なスキルです。
organ,"【名】臓器, オルガン",/ˈɔːrɡən/,She plays the organ at church every Sunday.,彼女は毎週日曜日に教会でオルガンを演奏します。
originate,"【動】...を起源とする, 始める",/əˈrɪdʒɪneɪt/,The conflict originated from a disagreement over resources.,紛争は資源に関する意見の相違から引き起こされました。
orientation,"【名】方針, 指向",/ˌɔːriənˈteɪʃən/,Orientation programs are designed to help new employees adapt to their new work environment.,オリエンテーションプログラムは新入社員が新しい職場環境に適応するのを支援するために設計されています。
authorization,"【名】許可, 認可",/ˌɔːθəraɪˈzeɪʃən/,"After receiving the proper authorization, she was able to access the restricted area.",彼女は、適切な認可を受けた後、制限されたエリアにアクセスすることができました。
outsider,"【名】局外者, 外部者",/ˈaʊtsaɪdər/,He always felt like an outsider in his own family.,彼はいつも自分の家族の中で局外者のように感じていた。
autonomous,"【形】自治の, 自治権のある",/ɔːˈtɒnəməs/,The autonomic nervous system controls involuntary bodily functions.,自律神経系は無意識的な身体機能を制御しています。
outlay,"【名】支出, 支払い",/ˈaʊtleɪ/,The company's outlay for marketing expenses has increased significantly.,会社のマーケティング費用の支出は大幅に増加しました。
outrage,"【名】激怒, 怒り;【動】激怒させる",/ˈaʊtreɪdʒ/,The news of the scandal caused outrage among the public.,スキャンダルのニュースは一般の人々の怒りを引き起こしました。
outright,"【形】徹底的な, 完全な",/aʊtˈraɪt/,She outright refused to help me.,彼女は完全に私を助けることを拒否した。
overnight,"【副】一晩で, 一夜にして",/ˈoʊvərnaɪt/,I stayed overnight at my friend's house.,私は友達の家に一晩泊まりました。
packet,"【名】小包, パケット",/'pækɪt/,I received a packet in the mail today.,今日、郵便で小包を受け取りました。
painful,"【形】痛みを伴う, 痛い",/ˈpeɪnfəl/,I have a painful headache.,頭痛が痛いです。
baseball,【名】野球,/ˈbeɪsˌbɔl/,He loves playing baseball.,彼は野球をするのが大好きです。
parity,"【名】同等, パリティ",/pærəti/,The parity of a number determines whether it is even or odd.,数の偶奇性によって、その数が偶数か奇数かが決まります。
partial,"【形】部分的な, 一部の",/pɑːrʃəl/,He only gave a partial explanation of the situation.,彼は状況の一部の説明しかしなかった。
partially,"【副】部分的に, 一部は",/pɑːrˈʃəli/,She only partially completed the project.,彼女はプロジェクトを部分的にしか完了させませんでした。
patch,"【名】パッチ, 補修",/pætʃ/,I found a patch of chickweed growing in my garden.,私の庭でハコベの群生地を見つけました。
peacekeeping,【形】平和維持の;【名】平和維持活動,/piːsˈkiːpɪŋ/,The United Nations is responsible for peacekeeping operations around the world.,国連は世界中の平和維持活動に責任を持っています。
payable,"【形】支払うべき, 支払期限の",/ˈpeɪəbəl/,The invoice is payable within 30 days.,請求書は30日以内に支払い可能です。
beverage,【名】飲料,/'bɛv(ə)rɪdʒ/,I would like to order a beverage.,私は飲み物を注文したいです。
pending,"【形】未解決の, 未定の",/'pɛndɪŋ/,The decision is still pending.,決定はまだ未決定です。
pipeline,"【名】パイプライン, 管道",/paɪpˌlaɪn/,The pipeline transports oil and gas across long distances.,パイプラインは長距離を石油やガスを輸送します。
placement,"【名】配置, 置き場所",/ˈpleɪsmənt/,The placement of the furniture in the room is important for creating a comfortable space.,部屋の家具の配置は、快適な空間を作るために重要です。
plainly,"【副】明白に, 明確に",/ˈpleɪnli/,She spoke plainly and directly.,彼女ははっきりと直接話しました。
builder,"【名】建設業者, 建設者",/ˈbɪldər/,The builder constructed a new house in the neighborhood.,その建築業者は近所に新しい家を建てました。
bureaucratic,"【形】官僚的な, 官僚制の",/bjʊrəˈkrætɪk/,The bureaucratic system is slow and inefficient.,官僚制度は遅くて非効率的です。
poorly,"【副】貧しく, 不十分に",/pʊrli/,He performed poorly in the exam.,彼は試験で貧しく成績を残した。
businessman,"【名】実業家, 企業家",/ˈbɪznɪsmən/,He is a successful businessman.,彼は成功した実業家です。
carmaker,【名】自動車メーカー,/ˈkɑːrmeɪkər/,The German carmaker Volkswagen is allying with Suzuki of Japan.,ドイツの自動車メーカー、フォルクスワーゲンは、日本のスズキと提携しています。
